domain,merchant_name,merchant_category,country_code,region,company_size,readiness_score,protocol_score,data_score,accessibility_score,checkout_score,business_model,ucp_status,acp_status,x402_status,mcp_status,ap2_status,nlweb_status,visa_vic_status,mastercard_status,ecommerce_platform,guest_checkout_available,has_captcha,supports_pix,supports_spei,supports_crypto,robots_allows_agents,robots_blocks_all_bots
johnlewis.com,John Lewis,retail,GB,europe,sme,33,0,35,100,25,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
polygon.technology,Polygon,fintech,IN,apac,sme,33,0,35,100,28,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,true,false,false
nike.com,Nike,retail,US,north_america,sme,33,0,35,100,28,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,true,false,false
adyen.com,Adyen,fintech,NL,europe,enterprise,33,0,35,75,63,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,prestashop,true,true,true,false,false,false,false
submarino.com.br,Submarino,retail,BR,latam,sme,32,0,35,100,23,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
falabella.com.pe,Falabella Peru,retail,PE,latam,sme,32,0,35,100,23,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
funnel.io,Funnel,saas,SE,europe,mid-market,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
sodimac.cl,Sodimac,retail,CL,latam,sme,32,0,35,100,22,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,true,false,false,false
kushki.com,Kushki,fintech,EC,latam,mid-market,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
easy.cl,Easy Chile,retail,CL,latam,sme,32,0,35,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,true,false
trendyol.com,Trendyol,marketplace,TR,europe,sme,32,0,35,100,23,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
typeform.com,Typeform,saas,GB,europe,sme,32,0,35,100,23,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,false,false,false
starlingbank.com,Starling Bank,fintech,GB,europe,mid-market,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
oechsle.pe,Oechsle,retail,PE,latam,sme,32,0,35,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
falabella.com.ar,Falabella Argentina,retail,AR,latam,sme,32,0,35,100,23,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
tokstok.com.br,Tok&Stok,retail,BR,latam,sme,32,0,35,100,23,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
shein.com.mx,Shein Mexico,retail,MX,latam,sme,32,0,25,100,40,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,true,true,false,false
scalable.capital,Scalable Capital,fintech,DE,europe,mid-market,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
mx.com,MX Technologies,fintech,US,north_america,sme,32,0,35,100,23,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,false,false,false
invu.net,INVU,saas,PA,latam,sme,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
oaknorth.com,OakNorth,fintech,GB,europe,mid-market,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
gocardless.com,GoCardless,fintech,GB,europe,mid-market,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
twitch.tv,Twitch,marketplace,US,north_america,sme,32,0,35,100,20,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
ubereats.com,Uber Eats,restaurant,US,north_america,sme,32,0,35,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
ifood.com.br,iFood,marketplace,BR,latam,sme,32,0,35,100,23,marketplace,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,true,false,false,false,false
razorpay.com,Razorpay,fintech,IN,apac,sme,32,0,35,100,23,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,true,false,false,false,false
pushdoctor.co.uk,Push Doctor,healthcare,GB,europe,sme,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
klarna.com,Klarna,fintech,SE,europe,enterprise,32,0,10,100,65,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,true,false,false,false,true,false,false
celonis.com,Celonis,saas,DE,europe,sme,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
flixbus.com,FlixBus,travel,DE,europe,sme,32,0,35,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
deezer.com,Deezer,media,FR,europe,sme,32,0,35,100,20,content,not_applicable,not_applicable,not_detected,not_detected,not_applicable,not_detected,not_applicable,not_detected,,false,false,false,false,false,false,false
riverisland.com,River Island,retail,GB,europe,sme,32,0,35,100,20,retail,not_detected,not_detected,not_applicable,not_detected,not_detected,not_detected,not_detected,not_detected,,false,false,false,false,false,false,false
alan.com,Alan,healthcare,FR,europe,sme,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
factorial.co,Factorial,saas,ES,europe,sme,32,0,35,100,20,saas,not_applicable,not_detected,not_detected,not_detected,not_detected,not_applicable,not_applicable,not_detected,,false,false,false,false,false,false,false
